trial,start(sec),end(sec),time_diff(sec),wing_length
1,3.13,6.39,3.26,1.5
2,4.5,8.11,3.61,2
4,4.17,7.34,3.17,3
1,5.35,9.16,3.81,1.5
4,6.39,10.08,3.69,3
1,6.07,9.3,3.23,1.5
3,7.46,12.17,4.71,2.5
3,6.21,11.16,4.95,2.5
2,8.49,12.33,3.84,2
2,6.48,10.28,3.8,2
4,6.46,9.57,3.11,3
3,6.56,11.17,4.61,2.5
2,5.24,8.48,3.24,2
2,5.27,9.33,4.06,2
4,6.17,10.01,3.84,3
1,5.35,9.03,3.68,1.5
3,7.14,11.5,4.36,2.5
1,5.01,8.16,3.15,1.5
1,5.22,8.41,3.19,1.5
1,5.42,9.1,3.68,1.5
4,5.51,9.06,3.55,3
4,5.16,8.24,3.08,3
3,5.35,10.09,4.74,2.5
1,5.29,8.47,3.18,1.5
4,5.36,9.2,3.84,3
3,5.17,9.49,4.32,2.5
2,4.51,8.57,4.06,2
3,4.53,9.17,4.64,2.5
2,4.58,9.05,4.47,2
4,5.04,8.27,3.23,3
2,9.43,13.55,4.12,2
3,6.52,11.26,4.74,2.5
